"TIME","GEO","MONTH","UNIT","Value"
"1960","Belgium","Total","Number","154 784"
"1960","Bulgaria","Total","Number","140 082"
"1960","Czechia","Total","Number","128 879"
"1960","Denmark","Total","Number","76 077"
"1960","Germany including former GDR","Total","Number","1 261 614"
"1960","Estonia","Total","Number","20 187"
"1960","Ireland","Total","Number","60 735"
"1960","Greece","Total","Number","157 239"
"1960","Spain","Total","Number","660 129"
"1960","France","Total","Number",":"
"1960","France (metropolitan)","Total","Number","816 296"
"1960","Croatia","Total","Number","76 156"
"1960","Italy","Total","Number","910 192"
"1960","Cyprus","Total","Number",":"
"1960","Latvia","Total","Number","35 468"
"1960","Lithuania","Total","Number","62 485"
"1960","Luxembourg","Total","Number","5 019"
"1960","Hungary","Total","Number","146 461"
"1960","Malta","Total","Number","8 565"
"1960","Netherlands","Total","Number","239 128"
"1960","Austria","Total","Number","125 945"
"1960","Poland","Total","Number","669 485"
"1960","Portugal","Total","Number","213 895"
"1960","Romania","Total","Number","352 241"
"1960","Slovenia","Total","Number","27 825"
"1960","Slovakia","Total","Number","88 412"
"1960","Finland","Total","Number","82 129"
"1960","Sweden","Total","Number","102 219"
"1960","United Kingdom","Total","Number","918 286"
"1960","Iceland","Total","Number","4 916"
"1960","Liechtenstein","Total","Number","380"
"1960","Norway","Total","Number","61 880"
"1960","Switzerland","Total","Number","94 372"
"1960","Montenegro","Total","Number",":"
"1960","North Macedonia","Total","Number","44 059"
"1960","Albania","Total","Number","69 686"
"1960","Serbia","Total","Number",":"
"1960","Turkey","Total","Number",":"
"1960","Andorra","Total","Number",":"
"1960","Belarus","Total","Number",":"
"1960","Bosnia and Herzegovina","Total","Number","110 499"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1960","Moldova","Total","Number",":"
"1960","Monaco","Total","Number",":"
"1960","Russia","Total","Number",":"
"1960","San Marino","Total","Number",":"
"1960","Ukraine","Total","Number",":"
"1960","Armenia","Total","Number",":"
"1960","Azerbaijan","Total","Number",":"
"1960","Georgia","Total","Number",":"
"1961","Belgium","Total","Number","158 431"
"1961","Bulgaria","Total","Number","137 861"
"1961","Czechia","Total","Number","131 019"
"1961","Denmark","Total","Number","76 439"
"1961","Germany including former GDR","Total","Number","1 313 505"
"1961","Estonia","Total","Number","20 230"
"1961","Ireland","Total","Number","59 825"
"1961","Greece","Total","Number","150 716"
"1961","Spain","Total","Number","651 558"
"1961","France","Total","Number",":"
"1961","France (metropolitan)","Total","Number","835 240"
"1961","Croatia","Total","Number","74 190"
"1961","Italy","Total","Number","929 657"
"1961","Cyprus","Total","Number","15 059"
"1961","Latvia","Total","Number","35 993"
"1961","Lithuania","Total","Number","62 775"
"1961","Luxembourg","Total","Number","5 112"
"1961","Hungary","Total","Number","140 365"
"1961","Malta","Total","Number","7 674"
"1961","Netherlands","Total","Number","247 407"
"1961","Austria","Total","Number","131 563"
"1961","Poland","Total","Number","627 624"
"1961","Portugal","Total","Number","217 516"
"1961","Romania","Total","Number","324 859"
"1961","Slovenia","Total","Number","28 955"
"1961","Slovakia","Total","Number","87 359"
"1961","Finland","Total","Number","81 996"
"1961","Sweden","Total","Number","104 501"
"1961","United Kingdom","Total","Number","944 400"
"1961","Iceland","Total","Number","4 563"
"1961","Liechtenstein","Total","Number","359"
"1961","Norway","Total","Number","62 555"
"1961","Switzerland","Total","Number","99 238"
"1961","Montenegro","Total","Number",":"
"1961","North Macedonia","Total","Number","42 182"
"1961","Albania","Total","Number","68 452"
"1961","Serbia","Total","Number",":"
"1961","Turkey","Total","Number",":"
"1961","Andorra","Total","Number",":"
"1961","Belarus","Total","Number",":"
"1961","Bosnia and Herzegovina","Total","Number","108 076"
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1961","Moldova","Total","Number",":"
"1961","Monaco","Total","Number",":"
"1961","Russia","Total","Number",":"
"1961","San Marino","Total","Number",":"
"1961","Ukraine","Total","Number",":"
"1961","Armenia","Total","Number",":"
"1961","Azerbaijan","Total","Number",":"
"1961","Georgia","Total","Number",":"
"1962","Belgium","Total","Number","155 061"
"1962","Bulgaria","Total","Number","134 148"
"1962","Czechia","Total","Number","133 557"
"1962","Denmark","Total","Number","77 808"
"1962","Germany including former GDR","Total","Number","1 316 534"
"1962","Estonia","Total","Number","19 959"
"1962","Ireland","Total","Number","61 782"
"1962","Greece","Total","Number","152 297"
"1962","Spain","Total","Number","655 829"
"1962","France","Total","Number",":"
"1962","France (metropolitan)","Total","Number","828 920"
"1962","Croatia","Total","Number","72 267"
"1962","Italy","Total","Number","937 257"
